subject,body,label,timestamp,sender,score,scan_type
Click here to verify your Apple account immediately,"Dear user, Click here to verify your Apple account immediately. Click here to take immediate action: http://fake-security-3867.com. Do not ignore this important message.",phishing,,,,
Your order #5658 has been confirmed and shipped,"Hello, this is regarding Your order #5658 has been confirmed and shipped. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Suspicious activity detected on your email,"Dear user, Suspicious activity detected on your email. Click here to take immediate action: http://fake-security-5073.com. Do not ignore this important message.",phishing,,,,
Project Phoenix status report - 39% complete,"Hello, this is regarding Project Phoenix status report - 39% complete. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Confirm your identity to unlock Netflix features,"Dear user, Confirm your identity to unlock Netflix features. Click here to take immediate action: http://fake-security-7465.com. Do not ignore this important message.",phishing,,,,
You won a shopping spree! Claim your free gift now,"Dear user, You won a shopping spree! Claim your free gift now. Click here to take immediate action: http://fake-security-7103.com. Do not ignore this important message.",phishing,,,,
IMPORTANT: Your membership will expire in 5 days,"Dear user, IMPORTANT: Your membership will expire in 5 days. Click here to take immediate action: http://fake-security-8535.com. Do not ignore this important message.",phishing,,,,
Security breach detected - change password now,"Dear user, Security breach detected - change password now. Click here to take immediate action: http://fake-security-7784.com. Do not ignore this important message.",phishing,,,,
Account verification required to prevent deletion,"Dear user, Account verification required to prevent deletion. Click here to take immediate action: http://fake-security-4437.com. Do not ignore this important message.",phishing,,,,
Reminder: conference on Monday at main office,"Hello, this is regarding Reminder: conference on Monday at main office. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Suspicious activity detected on your social media,"Dear user, Suspicious activity detected on your social media. Click here to take immediate action: http://fake-security-7245.com. Do not ignore this important message.",phishing,,,,
Security alert: Unusual login detected from Brazil,"Dear user, Security alert: Unusual login detected from Brazil. Click here to take immediate action: http://fake-security-5070.com. Do not ignore this important message.",phishing,,,,
Your package delivery failed - update address now,"Dear user, Your package delivery failed - update address now. Click here to take immediate action: http://fake-security-3980.com. Do not ignore this important message.",phishing,,,,
You won a MacBook! Claim your free gift now,"Dear user, You won a MacBook! Claim your free gift now. Click here to take immediate action: http://fake-security-4868.com. Do not ignore this important message.",phishing,,,,
Meeting scheduled for Tuesday regarding budget review,"Hello, this is regarding Meeting scheduled for Tuesday regarding budget review. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Security breach detected - change password now,"Dear user, Security breach detected - change password now. Click here to take immediate action: http://fake-security-6578.com. Do not ignore this important message.",phishing,,,,
IMPORTANT: Your membership will expire in 4 days,"Dear user, IMPORTANT: Your membership will expire in 4 days. Click here to take immediate action: http://fake-security-1963.com. Do not ignore this important message.",phishing,,,,
You won a $1000! Claim your free gift now,"Dear user, You won a $1000! Claim your free gift now. Click here to take immediate action: http://fake-security-6196.com. Do not ignore this important message.",phishing,,,,
Training session scheduled for team sync on Monday,"Hello, this is regarding Training session scheduled for team sync on Monday. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Your eWallet account has been locked - verify now to unlock,"Dear user, Your eWallet account has been locked - verify now to unlock. Click here to take immediate action: http://fake-security-3506.com. Do not ignore this important message.",phishing,,,,
Payment overdue: Click to avoid service interruption,"Dear user, Payment overdue: Click to avoid service interruption. Click here to take immediate action: http://fake-security-9302.com. Do not ignore this important message.",phishing,,,,
Reset your password immediately - security breach,"Dear user, Reset your password immediately - security breach. Click here to take immediate action: http://fake-security-2576.com. Do not ignore this important message.",phishing,,,,
Team building event this Saturday at conference room,"Hello, this is regarding Team building event this Saturday at conference room. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Reset your password immediately - security breach,"Dear user, Reset your password immediately - security breach. Click here to take immediate action: http://fake-security-5986.com. Do not ignore this important message.",phishing,,,,
Confirm your identity to unlock Facebook features,"Dear user, Confirm your identity to unlock Facebook features. Click here to take immediate action: http://fake-security-9281.com. Do not ignore this important message.",phishing,,,,
Security breach detected - change password now,"Dear user, Security breach detected - change password now. Click here to take immediate action: http://fake-security-5279.com. Do not ignore this important message.",phishing,,,,
IMPORTANT: Your membership will expire in 7 days,"Dear user, IMPORTANT: Your membership will expire in 7 days. Click here to take immediate action: http://fake-security-7855.com. Do not ignore this important message.",phishing,,,,
IMPORTANT: Your membership will expire in 7 days,"Dear user, IMPORTANT: Your membership will expire in 7 days. Click here to take immediate action: http://fake-security-9163.com. Do not ignore this important message.",phishing,,,,
Suspicious activity detected on your shopping,"Dear user, Suspicious activity detected on your shopping. Click here to take immediate action: http://fake-security-5586.com. Do not ignore this important message.",phishing,,,,
Action Required: Verify your contact information,"Dear user, Action Required: Verify your contact information. Click here to take immediate action: http://fake-security-3250.com. Do not ignore this important message.",phishing,,,,
Invoice #78402 for $499.99 is now available,"Hello, this is regarding Invoice #78402 for $499.99 is now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Project Delta status report - 91% complete,"Hello, this is regarding Project Delta status report - 91% complete. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Tax refund available - claim immediately,"Dear user, Tax refund available - claim immediately. Click here to take immediate action: http://fake-security-3933.com. Do not ignore this important message.",phishing,,,,
Security breach detected - change password now,"Dear user, Security breach detected - change password now. Click here to take immediate action: http://fake-security-3566.com. Do not ignore this important message.",phishing,,,,
IMPORTANT: Your membership will expire in 2 days,"Dear user, IMPORTANT: Your membership will expire in 2 days. Click here to take immediate action: http://fake-security-6753.com. Do not ignore this important message.",phishing,,,,
Tax refund available - claim immediately,"Dear user, Tax refund available - claim immediately. Click here to take immediate action: http://fake-security-3111.com. Do not ignore this important message.",phishing,,,,
Click here to verify your Microsoft account immediately,"Dear user, Click here to verify your Microsoft account immediately. Click here to take immediate action: http://fake-security-6746.com. Do not ignore this important message.",phishing,,,,
You won a MacBook! Claim your free gift now,"Dear user, You won a MacBook! Claim your free gift now. Click here to take immediate action: http://fake-security-6910.com. Do not ignore this important message.",phishing,,,,
Action Required: Verify your contact information,"Dear user, Action Required: Verify your contact information. Click here to take immediate action: http://fake-security-9595.com. Do not ignore this important message.",phishing,,,,
You won a $1000! Claim your free gift now,"Dear user, You won a $1000! Claim your free gift now. Click here to take immediate action: http://fake-security-3198.com. Do not ignore this important message.",phishing,,,,
Your order #1022 has been confirmed and shipped,"Hello, this is regarding Your order #1022 has been confirmed and shipped. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Invoice #37214 for $99.99 is now available,"Hello, this is regarding Invoice #37214 for $99.99 is now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
IMPORTANT: Your membership will expire in 5 days,"Dear user, IMPORTANT: Your membership will expire in 5 days. Click here to take immediate action: http://fake-security-3935.com. Do not ignore this important message.",phishing,,,,
Your order #5205 has been confirmed and shipped,"Hello, this is regarding Your order #5205 has been confirmed and shipped. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Account verification required to prevent deletion,"Dear user, Account verification required to prevent deletion. Click here to take immediate action: http://fake-security-9667.com. Do not ignore this important message.",phishing,,,,
Your package delivery failed - update address now,"Dear user, Your package delivery failed - update address now. Click here to take immediate action: http://fake-security-1955.com. Do not ignore this important message.",phishing,,,,
Account verification required to prevent deletion,"Dear user, Account verification required to prevent deletion. Click here to take immediate action: http://fake-security-8336.com. Do not ignore this important message.",phishing,,,,
IMPORTANT: Your membership will expire in 1 days,"Dear user, IMPORTANT: Your membership will expire in 1 days. Click here to take immediate action: http://fake-security-4560.com. Do not ignore this important message.",phishing,,,,
Tax refund available - claim immediately,"Dear user, Tax refund available - claim immediately. Click here to take immediate action: http://fake-security-1366.com. Do not ignore this important message.",phishing,,,,
URGENT: Your Facebook account will be suspended in 57 hours,"Dear user, URGENT: Your Facebook account will be suspended in 57 hours. Click here to take immediate action: http://fake-security-4071.com. Do not ignore this important message.",phishing,,,,
You won a iPhone! Claim your free gift now,"Dear user, You won a iPhone! Claim your free gift now. Click here to take immediate action: http://fake-security-9625.com. Do not ignore this important message.",phishing,,,,
URGENT: Your Amazon account will be suspended in 59 hours,"Dear user, URGENT: Your Amazon account will be suspended in 59 hours. Click here to take immediate action: http://fake-security-3485.com. Do not ignore this important message.",phishing,,,,
Payment overdue: Click to avoid service interruption,"Dear user, Payment overdue: Click to avoid service interruption. Click here to take immediate action: http://fake-security-6287.com. Do not ignore this important message.",phishing,,,,
You won a gift card! Claim your free gift now,"Dear user, You won a gift card! Claim your free gift now. Click here to take immediate action: http://fake-security-3650.com. Do not ignore this important message.",phishing,,,,
Tax refund available - claim immediately,"Dear user, Tax refund available - claim immediately. Click here to take immediate action: http://fake-security-6555.com. Do not ignore this important message.",phishing,,,,
Your Bank account has been locked - verify now to unlock,"Dear user, Your Bank account has been locked - verify now to unlock. Click here to take immediate action: http://fake-security-5727.com. Do not ignore this important message.",phishing,,,,
Click here to verify your Google account immediately,"Dear user, Click here to verify your Google account immediately. Click here to take immediate action: http://fake-security-2020.com. Do not ignore this important message.",phishing,,,,
Click here to verify your Amazon account immediately,"Dear user, Click here to verify your Amazon account immediately. Click here to take immediate action: http://fake-security-9603.com. Do not ignore this important message.",phishing,,,,
Your order #6476 has been confirmed and shipped,"Hello, this is regarding Your order #6476 has been confirmed and shipped. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Reset your password immediately - security breach,"Dear user, Reset your password immediately - security breach. Click here to take immediate action: http://fake-security-7938.com. Do not ignore this important message.",phishing,,,,
Account verification required to prevent deletion,"Dear user, Account verification required to prevent deletion. Click here to take immediate action: http://fake-security-8179.com. Do not ignore this important message.",phishing,,,,
Reset your password immediately - security breach,"Dear user, Reset your password immediately - security breach. Click here to take immediate action: http://fake-security-1030.com. Do not ignore this important message.",phishing,,,,
Payment overdue: Click to avoid service interruption,"Dear user, Payment overdue: Click to avoid service interruption. Click here to take immediate action: http://fake-security-4189.com. Do not ignore this important message.",phishing,,,,
Security alert: Unusual login detected from New York,"Dear user, Security alert: Unusual login detected from New York. Click here to take immediate action: http://fake-security-6131.com. Do not ignore this important message.",phishing,,,,
Your order #3365 has been confirmed and shipped,"Hello, this is regarding Your order #3365 has been confirmed and shipped. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Payment overdue: Click to avoid service interruption,"Dear user, Payment overdue: Click to avoid service interruption. Click here to take immediate action: http://fake-security-5886.com. Do not ignore this important message.",phishing,,,,
URGENT: Your Google account will be suspended in 68 hours,"Dear user, URGENT: Your Google account will be suspended in 68 hours. Click here to take immediate action: http://fake-security-4752.com. Do not ignore this important message.",phishing,,,,
Account verification required to prevent deletion,"Dear user, Account verification required to prevent deletion. Click here to take immediate action: http://fake-security-9552.com. Do not ignore this important message.",phishing,,,,
You won a iPhone! Claim your free gift now,"Dear user, You won a iPhone! Claim your free gift now. Click here to take immediate action: http://fake-security-8466.com. Do not ignore this important message.",phishing,,,,
Suspicious activity detected on your shopping,"Dear user, Suspicious activity detected on your shopping. Click here to take immediate action: http://fake-security-5940.com. Do not ignore this important message.",phishing,,,,
Invoice #40167 for $149.50 is now available,"Hello, this is regarding Invoice #40167 for $149.50 is now available. Please let us know if you have any questions or need additional information. We appreciate your attention to this matter.",legitimate,,,,
Action Required: Verify your contact information,"Dear user, Action Required: Verify your contact information. Click here to take immediate action: http://fake-security-5024.com. Do not ignore this important message.",phishing,,,,
URGENT: Your Facebook account will be suspended in 50 hours,"Dear user, URGENT: Your Facebook account will be suspended in 50 hours. Click here to take immediate action: http://fake-security-8947.com. Do not ignore this important message.",phishing,,,,
Your Credit Card account has been locked - verify now to unlock,"Dear user, Your Credit Card account has been locked - verify now to unlock. Click here to take immediate action: http://fake-security-8197.com. Do not ignore this important message.",phishing,,,,
